name,value
rcp85 end-century,80.00970459
rcp85 end-century,79.85336304
rcp85 end-century,79.78404236
rcp85 end-century,80.22827148
livneh baseline,76.58367157
livneh baseline,77.20812988
livneh baseline,77.11299133
livneh baseline,76.43925476
livneh baseline,77.18759155
livneh baseline,77.50657654
livneh baseline,75.89867401
livneh baseline,78.05117035
livneh baseline,76.12487793
livneh baseline,76.37509155
livneh baseline,76.12279511
livneh baseline,76.76576996
livneh baseline,76.52940369
livneh baseline,78.02128601
livneh baseline,75.22642517
livneh baseline,76.71748352
livneh baseline,76.81097412
livneh baseline,76.72786713
livneh baseline,76.51989746
livneh baseline,76.77137756
livneh baseline,76.69941711
livneh baseline,76.63789368
livneh baseline,76.75835419
livneh baseline,76.47969055
livneh baseline,76.93001556
livneh baseline,77.20863342
livneh baseline,78.53105164
livneh baseline,77.01527405
livneh baseline,77.38386536
livneh baseline,77.00785828
rcp45 mid-century,79.42654419
rcp45 mid-century,79.82661438
rcp45 mid-century,81.38728333
rcp45 mid-century,80.49375916
rcp45 mid-century,79.34074402
rcp45 mid-century,79.26329041
rcp45 mid-century,80.2321167
rcp45 mid-century,80.07798767
rcp45 mid-century,79.98124695
rcp45 mid-century,80.63284302
rcp45 mid-century,80.09172058
rcp45 mid-century,80.65559387
rcp45 mid-century,81.1219635
rcp45 mid-century,80.4765625
rcp45 mid-century,80.51732636
rcp45 mid-century,80.66816711
rcp45 mid-century,80.96490479
rcp45 mid-century,82.25376892
rcp45 mid-century,80.5557251
rcp45 mid-century,81.33926392
rcp45 mid-century,81.80607605
rcp45 mid-century,80.81593323
rcp45 mid-century,82.43537903
rcp45 mid-century,84.61110687
rcp45 mid-century,81.88056946
rcp45 mid-century,82.01805878
rcp45 mid-century,84.01333618
rcp45 mid-century,83.04967499
rcp45 mid-century,83.1605835
rcp45 mid-century,83.6745224
rcp85 mid-century,80.51309204
rcp85 mid-century,79.62056732
rcp85 mid-century,79.90873718
rcp85 mid-century,80.89541626
rcp85 mid-century,80.52336884
rcp85 mid-century,80.42234802
rcp85 mid-century,80.23568726
rcp85 mid-century,80.70574188
rcp85 mid-century,80.3377533
rcp85 mid-century,80.41762543
rcp85 mid-century,81.43127441
rcp85 mid-century,81.41424561
rcp85 mid-century,80.7530365
rcp85 mid-century,81.49176025
rcp85 mid-century,82.32232666
rcp85 mid-century,81.3324585
