date,Attribute,Value
4/4/2015 0:00,maxTemp,52
4/4/2015 0:00,minTemp,36
4/5/2015 0:00,meanTemp,41
4/5/2015 0:00,maxTemp,49
4/5/2015 0:00,minTemp,32
4/6/2015 0:00,meanTemp,39
4/6/2015 0:00,maxTemp,42
4/6/2015 0:00,minTemp,36
4/7/2015 0:00,meanTemp,39
4/7/2015 0:00,maxTemp,42
4/7/2015 0:00,minTemp,36
4/8/2015 0:00,meanTemp,38
4/8/2015 0:00,maxTemp,42
4/8/2015 0:00,minTemp,34
4/9/2015 0:00,meanTemp,35
4/9/2015 0:00,maxTemp,37
4/9/2015 0:00,minTemp,33
4/10/2015 0:00,meanTemp,46
4/10/2015 0:00,maxTemp,55
4/10/2015 0:00,minTemp,36
4/11/2015 0:00,meanTemp,50
4/11/2015 0:00,maxTemp,57
4/11/2015 0:00,minTemp,42
4/12/2015 0:00,meanTemp,54
4/12/2015 0:00,maxTemp,68
4/12/2015 0:00,minTemp,39
4/13/2015 0:00,meanTemp,55
4/13/2015 0:00,maxTemp,69
4/13/2015 0:00,minTemp,41
4/14/2015 0:00,meanTemp,59
4/14/2015 0:00,maxTemp,65
4/14/2015 0:00,minTemp,52
4/15/2015 0:00,meanTemp,59
4/15/2015 0:00,maxTemp,67
4/15/2015 0:00,minTemp,50
4/16/2015 0:00,meanTemp,51
4/16/2015 0:00,maxTemp,60
4/16/2015 0:00,minTemp,41
4/17/2015 0:00,meanTemp,56
4/17/2015 0:00,maxTemp,65
4/17/2015 0:00,minTemp,47
4/18/2015 0:00,meanTemp,52
4/18/2015 0:00,maxTemp,60
4/18/2015 0:00,minTemp,43
4/19/2015 0:00,meanTemp,46
4/19/2015 0:00,maxTemp,50
4/19/2015 0:00,minTemp,41
4/20/2015 0:00,meanTemp,46
4/20/2015 0:00,maxTemp,51
4/20/2015 0:00,minTemp,41
4/21/2015 0:00,meanTemp,56
4/21/2015 0:00,maxTemp,65
4/21/2015 0:00,minTemp,46
4/22/2015 0:00,meanTemp,55
4/22/2015 0:00,maxTemp,67
4/22/2015 0:00,minTemp,43
4/23/2015 0:00,meanTemp,45
4/23/2015 0:00,maxTemp,51
4/23/2015 0:00,minTemp,38
4/24/2015 0:00,meanTemp,44
4/24/2015 0:00,maxTemp,50
4/24/2015 0:00,minTemp,37
4/25/2015 0:00,meanTemp,46
4/25/2015 0:00,maxTemp,56
4/25/2015 0:00,minTemp,36
4/26/2015 0:00,meanTemp,50
4/26/2015 0:00,maxTemp,56
4/26/2015 0:00,minTemp,43
4/27/2015 0:00,meanTemp,51
4/27/2015 0:00,maxTemp,57
4/27/2015 0:00,minTemp,45
4/28/2015 0:00,meanTemp,53
4/28/2015 0:00,maxTemp,64
4/28/2015 0:00,minTemp,42
4/29/2015 0:00,meanTemp,51
4/29/2015 0:00,maxTemp,54
4/29/2015 0:00,minTemp,48
4/30/2015 0:00,meanTemp,50
4/30/2015 0:00,maxTemp,55
4/30/2015 0:00,minTemp,44
5/1/2015 0:00,meanTemp,44
5/1/2015 0:00,maxTemp,49
5/1/2015 0:00,minTemp,39
5/2/2015 0:00,meanTemp,45
5/2/2015 0:00,maxTemp,50
5/2/2015 0:00,minTemp,39
5/3/2015 0:00,meanTemp,56
5/3/2015 0:00,maxTemp,67
5/3/2015 0:00,minTemp,45
5/4/2015 0:00,meanTemp,67
5/4/2015 0:00,maxTemp,84
5/4/2015 0:00,minTemp,49
5/5/2015 0:00,meanTemp,62
5/5/2015 0:00,maxTemp,70
5/5/2015 0:00,minTemp,54
5/6/2015 0:00,meanTemp,63
5/6/2015 0:00,maxTemp,73
5/6/2015 0:00,minTemp,52
5/7/2015 0:00,meanTemp,66
5/7/2015 0:00,maxTemp,79
5/7/2015 0:00,minTemp,53
5/8/2015 0:00,meanTemp,59
5/8/2015 0:00,maxTemp,71
5/8/2015 0:00,minTemp,46
5/9/2015 0:00,meanTemp,59
5/9/2015 0:00,maxTemp,71
5/9/2015 0:00,minTemp,46
5/10/2015 0:00,meanTemp,74
5/10/2015 0:00,maxTemp,89
5/10/2015 0:00,minTemp,59
5/11/2015 0:00,meanTemp,65
5/11/2015 0:00,maxTemp,80
5/11/2015 0:00,minTemp,50
5/12/2015 0:00,meanTemp,68
5/12/2015 0:00,maxTemp,87
5/12/2015 0:00,minTemp,48
5/13/2015 0:00,meanTemp,61
5/13/2015 0:00,maxTemp,69
5/13/2015 0:00,minTemp,53
5/14/2015 0:00,meanTemp,59
5/14/2015 0:00,maxTemp,69
5/14/2015 0:00,minTemp,49
5/15/2015 0:00,meanTemp,58
5/15/2015 0:00,maxTemp,67
5/15/2015 0:00,minTemp,48
5/16/2015 0:00,meanTemp,63
5/16/2015 0:00,maxTemp,71
5/16/2015 0:00,minTemp,55
5/17/2015 0:00,meanTemp,60
5/17/2015 0:00,maxTemp,67
5/17/2015 0:00,minTemp,52
5/18/2015 0:00,meanTemp,54
5/18/2015 0:00,maxTemp,58
5/18/2015 0:00,minTemp,49
5/19/2015 0:00,meanTemp,59
5/19/2015 0:00,maxTemp,65
5/19/2015 0:00,minTemp,52
5/20/2015 0:00,meanTemp,59
5/20/2015 0:00,maxTemp,66
5/20/2015 0:00,minTemp,51
5/21/2015 0:00,meanTemp,56
5/21/2015 0:00,maxTemp,67
5/21/2015 0:00,minTemp,45
5/22/2015 0:00,meanTemp,64
5/22/2015 0:00,maxTemp,76
5/22/2015 0:00,minTemp,52
5/23/2015 0:00,meanTemp,55
5/23/2015 0:00,maxTemp,65
5/23/2015 0:00,minTemp,44
5/24/2015 0:00,meanTemp,67
5/24/2015 0:00,maxTemp,83
5/24/2015 0:00,minTemp,51
5/25/2015 0:00,meanTemp,70
5/25/2015 0:00,maxTemp,81
5/25/2015 0:00,minTemp,58
5/26/2015 0:00,meanTemp,76
5/26/2015 0:00,maxTemp,87
5/26/2015 0:00,minTemp,64
5/27/2015 0:00,meanTemp,75
5/27/2015 0:00,maxTemp,85
5/27/2015 0:00,minTemp,65
5/28/2015 0:00,meanTemp,75
5/28/2015 0:00,maxTemp,86
5/28/2015 0:00,minTemp,64
5/29/2015 0:00,meanTemp,64
5/29/2015 0:00,maxTemp,72
5/29/2015 0:00,minTemp,55
5/30/2015 0:00,meanTemp,73
5/30/2015 0:00,maxTemp,88
5/30/2015 0:00,minTemp,58
5/31/2015 0:00,meanTemp,63
5/31/2015 0:00,maxTemp,77
5/31/2015 0:00,minTemp,48
6/1/2015 0:00,meanTemp,48
6/1/2015 0:00,maxTemp,49
6/1/2015 0:00,minTemp,47
6/2/2015 0:00,meanTemp,48
6/2/2015 0:00,maxTemp,49
6/2/2015 0:00,minTemp,46
6/3/2015 0:00,meanTemp,52
6/3/2015 0:00,maxTemp,56
6/3/2015 0:00,minTemp,47
6/4/2015 0:00,meanTemp,54
6/4/2015 0:00,maxTemp,58
6/4/2015 0:00,minTemp,49
6/5/2015 0:00,meanTemp,55
6/5/2015 0:00,maxTemp,59
6/5/2015 0:00,minTemp,50
6/6/2015 0:00,meanTemp,60
6/6/2015 0:00,maxTemp,67
6/6/2015 0:00,minTemp,52
6/7/2015 0:00,meanTemp,60
6/7/2015 0:00,maxTemp,67
6/7/2015 0:00,minTemp,53
6/8/2015 0:00,meanTemp,65
6/8/2015 0:00,maxTemp,76
6/8/2015 0:00,minTemp,53
6/9/2015 0:00,meanTemp,71
6/9/2015 0:00,maxTemp,78
6/9/2015 0:00,minTemp,64
6/10/2015 0:00,meanTemp,72
6/10/2015 0:00,maxTemp,82
6/10/2015 0:00,minTemp,62
6/11/2015 0:00,meanTemp,76
6/11/2015 0:00,maxTemp,88
6/11/2015 0:00,minTemp,64
6/12/2015 0:00,meanTemp,72
6/12/2015 0:00,maxTemp,79
6/12/2015 0:00,minTemp,65
6/13/2015 0:00,meanTemp,75
6/13/2015 0:00,maxTemp,85
6/13/2015 0:00,minTemp,64
6/14/2015 0:00,meanTemp,68
6/14/2015 0:00,maxTemp,74
6/14/2015 0:00,minTemp,62
6/15/2015 0:00,meanTemp,59
6/15/2015 0:00,maxTemp,63
6/15/2015 0:00,minTemp,54
6/16/2015 0:00,meanTemp,64
6/16/2015 0:00,maxTemp,71
6/16/2015 0:00,minTemp,56
6/17/2015 0:00,meanTemp,64
6/17/2015 0:00,maxTemp,69
6/17/2015 0:00,minTemp,59
6/18/2015 0:00,meanTemp,67
6/18/2015 0:00,maxTemp,76
6/18/2015 0:00,minTemp,57
6/19/2015 0:00,meanTemp,75
6/19/2015 0:00,maxTemp,86
6/19/2015 0:00,minTemp,63
6/20/2015 0:00,meanTemp,67
6/20/2015 0:00,maxTemp,75
6/20/2015 0:00,minTemp,58
6/21/2015 0:00,meanTemp,68
6/21/2015 0:00,maxTemp,76
6/21/2015 0:00,minTemp,60
6/22/2015 0:00,meanTemp,69
6/22/2015 0:00,maxTemp,77
6/22/2015 0:00,minTemp,61
6/23/2015 0:00,meanTemp,74
6/23/2015 0:00,maxTemp,88
6/23/2015 0:00,minTemp,60
6/24/2015 0:00,meanTemp,76
6/24/2015 0:00,maxTemp,84
6/24/2015 0:00,minTemp,67
6/25/2015 0:00,meanTemp,73
6/25/2015 0:00,maxTemp,81
6/25/2015 0:00,minTemp,64
6/26/2015 0:00,meanTemp,66
6/26/2015 0:00,maxTemp,72
6/26/2015 0:00,minTemp,59
6/27/2015 0:00,meanTemp,63
6/27/2015 0:00,maxTemp,68
6/27/2015 0:00,minTemp,57
6/28/2015 0:00,meanTemp,56
6/28/2015 0:00,maxTemp,59
6/28/2015 0:00,minTemp,52
6/29/2015 0:00,meanTemp,64
6/29/2015 0:00,maxTemp,75
6/29/2015 0:00,minTemp,53
6/30/2015 0:00,meanTemp,68
6/30/2015 0:00,maxTemp,75
6/30/2015 0:00,minTemp,60
7/1/2015 0:00,meanTemp,72
7/1/2015 0:00,maxTemp,82
7/1/2015 0:00,minTemp,62
7/2/2015 0:00,meanTemp,72
7/2/2015 0:00,maxTemp,80
7/2/2015 0:00,minTemp,64
7/3/2015 0:00,meanTemp,70
7/3/2015 0:00,maxTemp,76
7/3/2015 0:00,minTemp,63
7/4/2015 0:00,meanTemp,67
7/4/2015 0:00,maxTemp,72
7/4/2015 0:00,minTemp,62
7/5/2015 0:00,meanTemp,72
7/5/2015 0:00,maxTemp,83
7/5/2015 0:00,minTemp,61
7/6/2015 0:00,meanTemp,74
7/6/2015 0:00,maxTemp,80
7/6/2015 0:00,minTemp,68
