caso,parola,frequenza,index,x,y,vy,vx
0,cibo,1392,24,157.37692277367657,606.7444200046582,-0.09247771167346207,-0.006863442920865747
1,mozzarella,465,25,561.1685978683233,562.5382809884654,-0.09709234854535821,0.0019933593171971046
1,blu,270,26,474.31934133270954,576.5462605868028,-0.0949530951638709,-0.0005880053543101837
1,prodotti,246,27,405.3426791957518,614.3124178571727,-0.09146233702057723,0.0026854988592958885
1,stata,181,28,266.57012133586494,640.6237709108933,-0.09516396116943136,-0.0025431223866988393
1,latte,159,29,636.2711913978939,642.8109149313926,-0.09214426180844064,0.004997669585370893
1,caso,141,30,221.20023407798533,536.9100290510719,-0.09453446827599228,-0.00517568774050891
1,azienda,115,31,324.56562639163207,651.3000277211765,-0.08945511309527035,-0.0003889697849168649
1,giorni,113,32,131.58282991725727,585.0100464530732,-0.09407611960855812,-0.007382747434464303
1,colorazione,111,33,607.9714248013075,523.1145793596501,-0.09350814401243339,0.002452634604401544
1,italiani,106,34,272.7566545482328,608.8775452448681,-0.09780296213526608,-0.004555877911261518
1,consumatori,103,35,249.4430497260389,583.7571015940177,-0.09073184459462459,-0.00038771016532913416
1,italia,101,36,321.61629726591934,531.6584147479475,-0.11046187251817041,-0.008639629858379516
1,alimentare,101,37,498.4891733098858,648.3872075413017,-0.09177128078739126,0.0009115373125736538
1,confezione,98,38,178.63343059805334,580.9200454064772,-0.08869698991088858,-0.0019548563563905334
1,controlli,90,39,503.56895803497133,607.3532333623775,-0.0922059119396635,-0.0011066616586295082
1,fatto,88,40,381.6107924520794,562.094446225075,-0.09269651247945135,-0.0035873185749134067
1,marchio,88,41,341.013651707464,525.9643845561122,-0.09629096839138802,-0.0038462769958674055
1,asl,88,42,619.0522398543169,655.6223433906499,-0.0951706760212902,0.0028569971084095626
1,batterio,84,43,180.42651714409948,560.9420612848613,-0.08927508418460828,-0.005053343348413363
1,vendita,78,44,488.6855970442033,594.4299163761752,-0.09206017372772288,-0.0012332080070807355
1,analisi,75,45,423.5594292910293,674.5645446654507,-0.0854630992526348,-0.00005157823106548831
1,importazioni,75,46,370.0130434015471,577.9123998432503,-0.09187114875044287,-0.001059199584555076
1,segnalazione,74,47,583.849528449632,573.4806511340797,-0.09335955841156854,0.0035139569629837387
1,supermercato,72,48,281.5546644043978,655.9248000944574,-0.09178845199385091,-0.004475215996541307
1,risultati,71,49,397.44500782626955,635.2927404737512,-0.09110689148487658,0.0007935509739462748
2,alimenti,2320,50,754.1392658796001,569.3532430495358,-0.09305405782083703,0.004801273596665119
2,cibi,1517,51,82.51155493030686,634.444572206597,-0.09145770914183614,-0.008321274835780275
2,dieta,1508,52,670.32192701211,532.8338088609507,-0.09450598162302441,0.004823106914258881
2,integrali,1248,53,281.234158647337,714.6609677569064,-0.09333954598280404,-0.005542327583053864
2,salute,1224,54,100.88019041362826,489.1154124476928,-0.09467953316185211,-0.0047875932754715975
2,prodotti,1097,55,619.5918165558617,614.6981046482767,-0.09210563607430396,0.002424664948584843
2,frutta,1037,56,470.94891960007294,668.3626328972845,-0.09103060515199726,-0.0004255034333802355
2,consumo,984,57,410.218037089191,551.841450586384,-0.0941257761703992,-0.004331750737244134
2,mangiare,964,58,560.5888738147293,658.9156558697312,-0.08929187108608276,0.001313350473894067
2,giorno,897,59,24.94280397869269,578.712532070188,-0.09410614255652965,-0.006836039580102382
2,verdura,869,60,683.1367676490569,574.3945298162291,-0.09472302900311338,0.005580184829921055
2,molto,846,61,345.79699082180986,672.4076661623837,-0.08734575900500978,-0.0027788885128849023
2,pasta,827,62,300.44738954013314,552.0794791837194,-0.10261807309842742,-0.0022347540848403763
2,cereali,747,63,710.8405605784158,640.3982427228591,-0.09282695784583299,0.0031017094931160205
2,essere,736,64,312.8780521751511,589.2008737659528,-0.09216722983112269,0.00001591672332479485
2,grassi,723,65,591.2632965822905,546.5953349001616,-0.09310291658200506,0.003874292594945609
2,carne,701,66,240.9590437266843,717.6331805747269,-0.09423187558980077,-0.005671152915004882
2,zuccheri,688,67,456.1524867422275,500.1811780027538,-0.0943163024432868,-0.0026264651336881345
2,pane,668,68,646.2743824086488,579.8173883226208,-0.09610357305341725,0.004498537505343823
2,qualita,665,69,42.90523357912633,621.1836342602642,-0.09281944505281378,-0.008255454427349963
2,fare,659,70,610.8933747567476,576.7612345181267,-0.09355767389497034,0.004610904628617334
2,studio,644,71,762.6656776131008,614.5148313860499,-0.09238788312291128,0.003310147171355602
