car_type,export_production,date,value,year,month,x1,y1,x2,y2,x3,y3,x4,y4,mid1x,mid1y,mid2x,mid2y,controlPoint1x,controlPoint1y,controlPoint2x,controlPoint2y,arcNumber,coilNumber
Passenger cars,Production,2010-03-01T05:00Z,560055,2010,Mar,80.82903813327745,-46.66666589290786,95,8.525759500585701e-7,113,0.0000010141166563854572,96.41749548755239,-55.66666574368295,90.95801553490543,-24.372125903642775,108.34468045131213,-29.030868554250596,94.00151200317214,-25.410919287119597,111.98061315884806,-30.22840474371805,2,2
Passenger cars,Production,2010-04-01T04:00Z,464591,2010,Apr,95,8.525759500585701e-7,83.71578862764682,48.333334034552244,99.30424582038104,57.33333416512404,113,0.0000010141166563854572,92.56789147085712,24.803492625382304,109.9545563036442,29.462235588062807,95.77788862789083,25.44031780720051,113.75698969709788,30.257803586505265,3,2
Passenger cars,Production,2010-05-01T04:00Z,470130,2010,May,83.71578862764682,48.333334034552244,49.1666660043084,85.15916508788251,58.16666588306315,100.74762242600339,99.30424582038104,57.33333416512404,68.94291060883405,68.94291172254272,81.67083256738803,81.67083388670444,71.4445939016905,71.13957388386805,84.60620928305397,84.30118947784518,4,2
Passenger cars,Production,2010-06-01T04:00Z,528820,2010,Jun,49.1666660043084,85.15916508788251,-7.179586947861643e-7,100,-8.471912598476739e-7,118,58.16666588306315,100.74762242600339,25.666221256296097,95.78764463228352,30.32496393811119,113.17430954032825,26.749109869417342,98.99570672062578,31.56659535828643,116.97480786765482,5,2
Passenger cars,Production,2010-07-01T04:00Z,392553,2010,Jul,-7.179586947861643e-7,100,-50.833333912788866,88.04591571686912,-59.83333401538099,103.63437292575743,-8.471912598476739e-7,118,-26.097587717975063,97.39752063791823,-30.756330649448298,114.78418547906728,-26.778508120576344,100.77208341740192,-31.59599386761047,118.75118449525584,6,2
Passenger cars,Production,2010-08-01T04:00Z,335748,2010,Aug,-50.833333912788866,88.04591571686912,-89.4892920335131,51.66666613125321,-105.0777493554799,60.66666603798763,-59.83333401538099,103.63437292575743,-72.47844552694076,72.47844461630149,-85.20636766825719,85.20636659770076,-74.79557808073054,75.10059830854182,-87.95719365108393,88.26221371352901,7,2
Passenger cars,Production,2010-09-01T04:00Z,536468,2010,Sep,-89.4892920335131,51.66666613125321,-105,-5.653924721441044e-7,-123,-6.623168959402366e-7,-105.0777493554799,60.66666603798763,-100.61727372501608,26.960316626286797,-118.00393862469885,31.619059339309157,-103.9899014332756,28.087300469643225,-121.96900257165774,32.90478599078294,8,2
Passenger cars,Production,2010-10-01T04:00Z,502507,2010,Oct,-105,-5.653924721441044e-7,-92.37604281506592,-53.33333377548122,-107.96450004010829,-62.33333385009368,-123,-6.623168959402366e-7,-102.22714980962488,-27.391682793230448,-119.61381465913588,-32.050425693496415,-105.7662782117168,-28.11669841602405,-123.74537929821761,-32.93418413078754,9,2
Passenger cars,Production,2010-11-01T04:00Z,519765,2010,Nov,-92.37604281506592,-53.33333377548122,-54.166666273742266,-93.8194189701692,-63.16666620845637,-109.40787627598192,-107.96450004010829,-62.33333385009368,-76.01397863646075,-76.01397931864697,-88.74190064070534,-88.74190143711809,-78.75660272851741,-78.45158226446875,-91.91821815712834,-91.61319781119838,10,2
Passenger cars,Production,2010-12-01T05:00Z,414480,2010,Dec,-54.166666273742266,-93.8194189701692,3.948772821323904e-7,-110,4.5949356466314517e-7,-128,-63.16666620845637,-109.40787627598192,-28.254412013614864,-105.44690281310308,-32.91315475784449,-122.8335677044239,-29.425491087797237,-108.98409614112157,-34.24297664120758,-126.96319727085684,11,2
